sample_id,basin,site_id,pair,pre_post,tmt,group,mean_load,bd_present,pos_neg
AJF46,dusy,11526,North,pre,treated,treated-pre,0,0,neg
AJF47,dusy,11526,North,pre,treated,treated-pre,8394.26458462261,1,pos
AJF48,dusy,11526,North,pre,treated,treated-pre,11035.5175166165,1,pos
AJF49,dusy,11526,North,pre,treated,treated-pre,0,0,neg
AJF50,dusy,11526,North,pre,treated,treated-pre,0,0,neg
AJF51,dusy,11526,North,pre,treated,treated-pre,0,0,neg
AJF52,dusy,11518,South,pre,treated,treated-pre,35419.7046895006,1,pos
AJF53,dusy,11518,South,pre,treated,treated-pre,40832.383623267,1,pos
AJF54,dusy,11518,South,pre,treated,treated-pre,4407.95452687501,1,pos
AJF55,dusy,11518,South,pre,treated,treated-pre,0,0,neg
AJF56,dusy,11518,South,pre,treated,treated-pre,0,0,neg
AJF57,dusy,11518,South,pre,treated,treated-pre,21140.7216637353,1,pos
AJF58,dusy,11517,South,pre,control,control-pre,6574.08074904675,1,pos
AJF59,dusy,11517,South,pre,control,control-pre,0,0,neg
AJF60,dusy,11517,South,pre,control,control-pre,18248.8503272677,1,pos
AJF61,dusy,11517,South,pre,control,control-pre,6354.54444158843,1,pos
AJF62,dusy,11517,South,pre,control,control-pre,14685.1731031947,1,pos
AJF63,dusy,11517,South,pre,control,control-pre,0,0,neg
AJF64,dusy,11516,NA,pre,NA,,0,0,neg
AJF65,dusy,11516,NA,pre,NA,,0,0,neg
AJF66,dusy,11516,NA,pre,NA,,0,0,neg
AJF67,dusy,11516,NA,pre,NA,,0,0,neg
AJF68,dusy,11516,NA,pre,NA,,0,0,neg
AJF69,dusy,11516,NA,pre,NA,,0,0,neg
AJF70,dusy,11506,East,pre,treated,treated-pre,0,0,neg
AJF71,dusy,11506,East,pre,treated,treated-pre,0,0,neg
AJF72,dusy,11506,East,pre,treated,treated-pre,0,0,neg
AJF73,dusy,11506,East,pre,treated,treated-pre,0,0,neg
AJF74,dusy,11506,East,pre,treated,treated-pre,0,0,neg
AJF75,dusy,11506,East,pre,treated,treated-pre,0,0,neg
AJF76,dusy,11525,North,pre,control,control-pre,4273.44425668894,1,pos
AJF77,dusy,11525,North,pre,control,control-pre,3.41424269374375,1,pos
AJF78,dusy,11525,North,pre,control,control-pre,25225.7937034424,1,pos
AJF79,dusy,11525,North,pre,control,control-pre,2642.69390591246,1,pos
AJF80,dusy,11525,North,pre,control,control-pre,8975.48568920476,1,pos
AJF81,dusy,11525,North,pre,control,control-pre,21356.0924212892,1,pos
AJF114,dusy,11518,South,post,treated,treated-post,7842.91746542938,1,pos
AJF115,dusy,11518,South,post,treated,treated-post,9759.7014572946,1,pos
AJF116,dusy,11518,South,post,treated,treated-post,1740.73897453919,1,pos
AJF117,dusy,11518,South,post,treated,treated-post,5363.10181864606,1,pos
AJF118,dusy,11518,South,post,treated,treated-post,6034.66901708017,1,pos
AJF119,dusy,11518,South,post,treated,treated-post,468.581689063987,1,pos
AJF120,dusy,11516,NA,post,NA,,0,0,neg
AJF121,dusy,11516,NA,post,NA,,3478.7267449907,1,pos
AJF122,dusy,11516,NA,post,NA,,0,0,neg
AJF123,dusy,11516,NA,post,NA,,0,0,neg
AJF124,dusy,11516,NA,post,NA,,0,0,neg
AJF125,dusy,11516,NA,post,NA,,0,0,neg
AJF126,dusy,11517,South,post,control,control-post,19156.9283720921,1,pos
AJF127,dusy,11517,South,post,control,control-post,4342.26515676118,1,pos
AJF128,dusy,11517,South,post,control,control-post,23.7789311584467,1,pos
AJF129,dusy,11517,South,post,control,control-post,0,0,neg
AJF130,dusy,11517,South,post,control,control-post,0,0,neg
AJF131,dusy,11517,South,post,control,control-post,0,0,neg
AJF132,dusy,11525,North,post,control,control-post,1202165.25910737,1,pos
AJF133,dusy,11525,North,post,control,control-post,75101.1245594487,1,pos
AJF134,dusy,11525,North,post,control,control-post,81463.2883852557,1,pos
AJF135,dusy,11525,North,post,control,control-post,40882.8815916677,1,pos
AJF136,dusy,11525,North,post,control,control-post,67123.0108893388,1,pos
AJF137,dusy,11525,North,post,control,control-post,116673.109528439,1,pos
AJF138,dusy,11526,North,post,treated,treated-post,27699.1829641085,1,pos
AJF139,dusy,11526,North,post,treated,treated-post,7052.18466490855,1,pos
AJF140,dusy,11526,North,post,treated,treated-post,67322.2822278654,1,pos
AJF141,dusy,11526,North,post,treated,treated-post,22649.5748286777,1,pos
AJF142,dusy,11526,North,post,treated,treated-post,19939.3929888195,1,pos
AJF143,dusy,11526,North,post,treated,treated-post,15107.1199137529,1,pos
AJF148,dusy,11506,East,post,treated,treated-post,41473.8028780707,1,pos
AJF149,dusy,11506,East,post,treated,treated-post,2040.89660560563,1,pos
AJF150,dusy,11506,East,post,treated,treated-post,5262.47273491119,1,pos
AJF151,dusy,11506,East,post,treated,treated-post,141.992177697196,1,pos
AJF152,dusy,11506,East,post,treated,treated-post,12450.817801395,1,pos
AJF153,dusy,11506,East,post,treated,treated-post,7277.57783884488,1,pos
