site_id,visit_date,survey_type,survey_treatment,species,capture_life_stage,capture_animal_state,pit_tag_ref,tag_new,sex,length,weight,swab_id,replicate,bd_load
50839,2016-07-12,swab,Survey,ramu,adult,healthy,NA,NA,f,74,41,RKS20169,1,0
50839,2016-07-12,swab,Survey,ramu,adult,healthy,NA,NA,m,61,29,RKS20168,1,0
50839,2017-07-31,swab,Survey,ramu,adult,healthy,NA,NA,m,58,28,RKS20777,1,0
50839,2017-07-31,swab,Survey,ramu,adult,healthy,NA,NA,f,68,50,RKS20776,1,0
50839,2018-06-20,swab,Survey,ramu,adult,healthy,NA,NA,f,65,34,RKS25086,1,474.024
50839,2018-06-20,swab,Survey,ramu,adult,healthy,NA,NA,m,53,18,RKS25084,1,4436653.256
50839,2018-06-20,swab,Survey,ramu,adult,healthy,NA,NA,f,66,33,RKS24992,1,0
50839,2018-06-20,swab,Survey,ramu,adult,healthy,NA,NA,f,44,11,RKS25088,1,329.064
50839,2018-06-20,swab,Survey,ramu,adult,healthy,NA,NA,m,60,35,RKS25089,1,26921.536
50839,2018-06-20,swab,Survey,ramu,adult,healthy,NA,NA,m,56,32,RKS25087,1,43.264
50839,2018-06-20,swab,Survey,ramu,adult,healthy,NA,NA,m,50,17,RKS25085,1,12650.24
50839,2018-07-07,swab,Survey,ramu,adult,healthy,NA,NA,f,60,31,RKS25331,1,47.456
50839,2018-07-07,swab,Survey,ramu,adult,healthy,NA,NA,f,67,32,RKS25330,1,8389199.752
50839,2018-07-07,swab,Survey,ramu,adult,healthy,NA,NA,f,57,22,RKS25329,1,2652494.568
50839,2018-07-07,swab,Survey,ramu,adult,healthy,NA,NA,m,56,19,RKS25328,1,2656280.36
50839,2018-07-07,swab,Survey,ramu,adult,healthy,NA,NA,m,57,23,RKS25327,1,34737.704
50839,2018-07-07,swab,Survey,ramu,adult,healthy,NA,NA,f,62,30,RKS25326,1,5536186.344
50839,2018-07-07,swab,Survey,ramu,adult,healthy,NA,NA,m,56,21,RKS25325,1,1229030.904
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000114142,TRUE,f,49,17,RKS26851,1,399321.816
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000116991,TRUE,m,53,18,RKS26852,1,912310.616
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000116993,TRUE,f,68,31,RKS26838,1,12535355.848
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000116994,TRUE,f,50,15,RKS26858,1,24434440.152
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000116996,TRUE,m,59,23,RKS26860,1,7523296.328
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000117006,TRUE,f,62,28,RKS26850,1,5560895.928
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000117012,TRUE,m,54,22,RKS26854,1,2155376.024
50839,2018-07-16,cmr,Treatment,ramu,adult,sick,900067000117014,TRUE,m,56,21,RKS26846,1,4644552.592
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000117025,TRUE,f,67,40,RKS26856,1,140191.072
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000117028,TRUE,m,59,23,RKS26849,1,0
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000117062,TRUE,f,68,36,RKS26837,1,1044508.544
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000117063,TRUE,f,69,46,RKS26862,1,3644484.896
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000117143,TRUE,m,51,23,RKS26848,1,758662.152
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000117145,TRUE,f,63,30,RKS26839,1,231383.072
50839,2018-07-16,cmr,Treatment,ramu,adult,sick,900067000117326,TRUE,m,58,19,RKS26842,1,4810351.672
50839,2018-07-16,cmr,Treatment,ramu,adult,sick,900067000117483,TRUE,m,52,17,RKS26847,1,11232097.112
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000117499,TRUE,m,58,25,RKS26853,1,4946274.112
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000117510,TRUE,f,56,19,RKS26841,1,4296.664
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000117514,TRUE,m,58,23,RKS26845,1,6937364.328
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000117518,TRUE,f,57,23,RKS26836,1,3263456.288
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000117525,TRUE,f,67,37,RKS26844,1,7212.88
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000117531,TRUE,m,60,25,RKS26835,1,966662.008
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000117545,TRUE,m,53,20,RKS26855,1,95706.312
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000117546,TRUE,f,65,36,RKS26840,1,2571582.528
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000117562,TRUE,f,63,27,RKS26843,1,11900818.264
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000114350,TRUE,m,56,20,RKS26857,1,722399.12
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000116988,TRUE,m,51,16,RKS26859,1,6135635.2
50839,2018-07-16,cmr,Treatment,ramu,adult,healthy,900067000116990,TRUE,f,57,20,RKS26861,1,12902509.312
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686090,TRUE,m,59,26,RKS26871,1,4059537.856
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686097,TRUE,f,56,21,RKS26876,1,3248365.352
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686102,TRUE,f,68,40,RKS26882,1,1223137.632
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686104,TRUE,f,46,11,RKS26874,1,178452.344
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686110,TRUE,m,57,20,RKS26873,1,4580942.68
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686117,TRUE,m,51,19,RKS26875,1,467355.44
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686118,TRUE,m,60,23,RKS26867,1,42583.616
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686120,TRUE,f,73,56,RKS26872,1,1012279.608
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686127,TRUE,f,60,29,RKS26868,1,6318387.616
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686139,TRUE,f,61,39,RKS26879,1,186407.96
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686141,TRUE,m,52,17,RKS26869,1,17000998.008
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686145,TRUE,m,56,20,RKS26863,1,9088013.008
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686152,TRUE,f,66,41,RKS26886,1,1337217.712
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686156,TRUE,f,40,7,RKS26878,1,675959.672
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686161,TRUE,f,68,46,RKS26864,1,822761.632
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686162,TRUE,m,55,17,RKS26883,1,31367911.696
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686169,TRUE,m,56,19,RKS26881,1,5469807.464
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686171,TRUE,f,39,6,RKS26870,1,1118030.152
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686173,TRUE,m,56,22,RKS26880,1,1960953.968
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686174,TRUE,m,49,18,RKS26877,1,2962583.368
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686176,TRUE,m,42,9,RKS26866,1,5692716.616
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686177,TRUE,f,43,9,RKS26884,1,3747764.544
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686180,TRUE,m,56,22,RKS26865,1,303095.824
50839,2018-07-17,cmr,Treatment,ramu,adult,healthy,982000410686181,TRUE,m,60,28,RKS26885,1,250379.864
50839,2018-07-18,cmr,Treatment,ramu,adult,healthy,982000410686095,TRUE,f,72,50,RKS26890,1,8739781.392
50839,2018-07-18,cmr,Treatment,ramu,adult,healthy,900067000116896,TRUE,m,49,17,RKS26893,1,2575784.792
